IDBox;Plant;Zone;Plan;UniqueQuadrat;UniqueGeno;n
261;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
262;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
263;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
264;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
265;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;5
266;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;3
267;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
268;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
269;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;8
270;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;8
271;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;8
272;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;8
273;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;6
274;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;9
275;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;9
276;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;5
277;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;6
278;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;4
279;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;4
280;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;1
281;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;6
282;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;4
283;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;2
284;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
285;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
286;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;5
287;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;4
288;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;4
289;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;6
290;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
291;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
292;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;8
293;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;8
294;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;5
295;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
296;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
297;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;4
298;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;6
299;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;4
300;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;2
301;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;8
302;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;8
303;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;6
304;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;3
305;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;4
306;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;2
307;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;5
308;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;1
309;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;5
310;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;6
311;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;4
312;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
313;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
314;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;6
315;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;6
316;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;8
317;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;8
318;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;3
319;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
320;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;7
321;F89-13-101-r2_H1_B_D2;NA;interpop;B;Corse_H1;3
322;F89-13-46-b2_H4_2013_B_D3;NA;interpop;B;Corse_H4;8
323;F89-13-46-b2_H4_2013_B_D3;NA;interpop;B;Corse_H4;8
324;F89-13-46-b2_H4_2013_B_D3;NA;interpop;B;Corse_H4;8
325;F89-13-46-b2_H4_2013_B_D3;NA;interpop;B;Corse_H4;8
326;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
327;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
328;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
329;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
330;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
331;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
332;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
333;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
334;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
335;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;5
336;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
337;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
338;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
339;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
340;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;5
341;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
342;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
343;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
344;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
345;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
346;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
347;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;8
348;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;8
349;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;5
350;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;8
351;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;8
352;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;5
353;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
354;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
355;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;4
356;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
357;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;5
358;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;5
359;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
360;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
361;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;7
362;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;4
363;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;3
364;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;1
365;L1119_Na545_H50_B_D5;NA;interpop;B;Narbonne_H50;6
366;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;7
367;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;7
368;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;5
369;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;7
370;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;7
371;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;7
372;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;7
373;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;8
374;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;8
375;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;6
376;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;7
377;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;7
378;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;3
379;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;3
380;L1105_Na21_H2_B_D6;NA;interpop;B;Narbonne_H2;4
381;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;8
382;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;8
383;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;7
384;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;7
385;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;8
386;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;8
387;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;8
388;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;8
389;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;8
390;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;8
391;L1086_Na121_H4_B_E2;NA;interpop;B;Narbonne_H4;6
392;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
393;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
394;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
395;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
396;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
397;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
398;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
399;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
400;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
401;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
402;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
403;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
404;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
405;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
406;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;9
407;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;9
408;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
409;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
410;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;6
411;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
412;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
413;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;6
414;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
415;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
416;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
417;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;8
418;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
419;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
420;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
421;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;7
422;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;7
423;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;7
424;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;7
425;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;7
426;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;5
427;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;6
428;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
429;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
430;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
431;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
432;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
433;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
434;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
435;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
436;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;5
437;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;4
438;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;7
439;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;7
440;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;6
441;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;6
442;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;8
443;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;8
444;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;9
445;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;9
446;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
447;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
448;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;10
449;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;10
450;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
451;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
452;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;6
453;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
454;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
455;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;6
456;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;6
457;F89-13-46-b2_H4_2013_B_F6;NA;interpop;B;Corse_H4;7
458;F89-13-46-b2_H4_2013_B_F6;NA;interpop;B;Corse_H4;7
459;F89-13-46-b2_H4_2013_B_F6;NA;interpop;B;Corse_H4;7
460;F89-13-46-b2_H4_2013_B_F6;NA;interpop;B;Corse_H4;7
461;Inconnu?_E_A12;NA;interpop;E;NA;8
462;Inconnu?_E_A12;NA;interpop;E;NA;8
463;Inconnu?_E_A12;NA;interpop;E;NA;7
464;Inconnu?_E_A12;NA;interpop;E;NA;7
465;Inconnu?_E_A12;NA;interpop;E;NA;7
466;Inconnu?_E_A12;NA;interpop;E;NA;7
467;Inconnu?_E_A12;NA;interpop;E;NA;7
468;Inconnu?_E_A12;NA;interpop;E;NA;7
469;Inconnu?_E_A12;NA;interpop;E;NA;5
470;Inconnu?_E_A12;NA;interpop;E;NA;6
471;Inconnu?_E_A12;NA;interpop;E;NA;6
472;Inconnu?_E_A12;NA;interpop;E;NA;8
473;Inconnu?_E_A12;NA;interpop;E;NA;8
474;Inconnu?_E_A12;NA;interpop;E;NA;6
475;F89-13-46-b2_H4_2013_E_A2;NA;interpop;E;Corse_H4;7
476;F89-13-46-b2_H4_2013_E_A2;NA;interpop;E;Corse_H4;7
477;F89-13-46-b2_H4_2013_E_A2;NA;interpop;E;Corse_H4;4
478;L1125_Na657_H8_E_A3;NA;interpop;E;Narbonne_H8;5
479;L1125_Na657_H8_E_A3;NA;interpop;E;Narbonne_H8;6
480;F89-13-156-p2_H5_E_A6;NA;interpop;E;Corse_H5;6
481;F89-13-156-p2_H5_E_A6;NA;interpop;E;Corse_H5;4
482;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;6
483;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;6
484;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;5
485;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;7
486;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;7
487;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;5
488;F89-13-155-p2_H1_E_CC3;NA;interpop;E;Corse_H1;6
489;F89-13-155-p2_H1_E_CC3;NA;interpop;E;Corse_H1;7
490;F89-13-155-p2_H1_E_CC3;NA;interpop;E;Corse_H1;7
491;F89-13-155-p2_H1_E_CC3;NA;interpop;E;Corse_H1;5
492;F89-13-155-p2_H1_E_CC5;NA;interpop;E;Corse_H1;7
493;F89-13-155-p2_H1_E_CC5;NA;interpop;E;Corse_H1;7
494;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
495;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
496;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
497;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
498;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
499;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
500;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;5
501;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;6
502;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;6
503;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
504;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
505;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;6
506;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
507;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
508;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;6
509;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;5
510;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;4
511;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;2
512;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;4
513;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
514;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
515;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
516;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
517;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;6
518;L1086_Na121_H4_E_D2;NA;interpop;E;Narbonne_H4;7
519;L1086_Na121_H4_E_D2;NA;interpop;E;Narbonne_H4;7
520;L1086_Na121_H4_E_D2;NA;interpop;E;Narbonne_H4;6
521;L1086_Na121_H4_E_D2;NA;interpop;E;Narbonne_H4;4
522;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;6
523;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;6
524;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
525;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
526;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;9
527;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;9
528;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
529;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
530;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;6
531;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
532;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
533;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
534;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
535;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;5
536;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
537;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
538;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
