IDBox;Plant;Zone;Plan;UniqueQuadrat;UniqueGeno;n
817;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;7
818;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;7
819;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;6
820;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;6
821;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;8
822;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;8
823;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;7
824;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;7
825;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;6
826;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;5
827;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;4
828;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;5
829;F89-13-46-b2_H4_2013_N_E1;NA;interpop;N;Corse_H4;4
830;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;7
831;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;7
832;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;8
833;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;8
834;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;6
835;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;8
836;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;8
837;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;7
838;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;7
839;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;6
840;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;7
841;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;7
842;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;5
843;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;5
844;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;4
845;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;6
846;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;6
847;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;7
848;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;7
849;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;8
850;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;8
851;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;6
852;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;6
853;L1107_Na234_H2_N_E4;NA;interpop;N;Narbonne_H2;6
854;L1107_Na234_H2_N_E4;NA;interpop;N;Narbonne_H2;6
855;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;7
856;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;7
857;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;5
858;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;5
859;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;6
860;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;5
861;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;4
862;Inconnu?_N_F0;NA;interpop;N;NA;2
863;L1119_Na545_H50_N_F3;NA;interpop;N;Narbonne_H50;3
864;L1123_Na632_H8_P_B2;NA;interpop;P;Narbonne_H8;6
865;L1123_Na632_H8_P_B2;NA;interpop;P;Narbonne_H8;2
866;L1090_Na136_H1_P_C1;NA;interpop;P;Narbonne_H1;6
867;L1090_Na136_H1_P_C1;NA;interpop;P;Narbonne_H1;7
868;L1090_Na136_H1_P_C1;NA;interpop;P;Narbonne_H1;7
869;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;5
870;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;4
871;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;5
872;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;5
873;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;7
874;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;7
875;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;5
876;F89-13-156-p2_H5_P_E2;NA;interpop;P;Corse_H5;7
877;F89-13-156-p2_H5_P_E2;NA;interpop;P;Corse_H5;7
878;F89-13-156-p2_H5_P_E2;NA;interpop;P;Corse_H5;1
879;F89-13-156-p2_H5_P_E2;NA;interpop;P;Corse_H5;4
880;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
881;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
882;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;6
883;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
884;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
885;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;4
886;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
887;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
888;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;5
889;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
890;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
891;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;6
892;F89-13-155-p2_H1_P_EE1;NA;interpop;P;Corse_H1;8
893;F89-13-155-p2_H1_P_EE1;NA;interpop;P;Corse_H1;8
894;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;6
895;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;7
896;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;7
897;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;6
898;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
899;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
900;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
901;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
902;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;8
903;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;8
904;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;8
905;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;8
906;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
907;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
908;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;2
909;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;3
910;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;7
911;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;7
912;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;7
913;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;7
914;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;2
915;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;4
916;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;8
917;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;8
918;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;8
919;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;8
920;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
921;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
922;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;9
923;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;9
924;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;9
925;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;9
926;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
927;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
928;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;5
929;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;1
930;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;3
931;F89-13-46-b2_H4_2013_B_F6;NA;interpop;B;Corse_H4;7
932;F89-13-46-b2_H4_2013_B_F6;NA;interpop;B;Corse_H4;7
933;Inconnu?_E_A12;NA;interpop;E;NA;6
934;Inconnu?_E_A12;NA;interpop;E;NA;6
935;Inconnu?_E_A12;NA;interpop;E;NA;3
936;Inconnu?_E_A12;NA;interpop;E;NA;7
937;Inconnu?_E_A12;NA;interpop;E;NA;7
938;Inconnu?_E_A12;NA;interpop;E;NA;3
939;Inconnu?_E_A12;NA;interpop;E;NA;6
940;Inconnu?_E_A12;NA;interpop;E;NA;6
941;Inconnu?_E_A12;NA;interpop;E;NA;4
942;Inconnu?_E_A12;NA;interpop;E;NA;4
943;Inconnu?_E_A12;NA;interpop;E;NA;5
944;F89-13-46-b2_H4_2013_E_A2;NA;interpop;E;Corse_H4;5
945;F89-13-46-b2_H4_2013_E_A2;NA;interpop;E;Corse_H4;4
946;L1125_Na657_H8_E_A3;NA;interpop;E;Narbonne_H8;6
947;F89-13-156-p2_H5_E_A6;NA;interpop;E;Corse_H5;6
948;F89-13-156-p2_H5_E_A6;NA;interpop;E;Corse_H5;2
949;F89-13-156-p2_H5_E_A6;NA;interpop;E;Corse_H5;5
950;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;8
951;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;8
952;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;6
953;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;6
954;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;7
955;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;7
956;F89-13-42-b2_H4_2013_E_B2;NA;interpop;E;Corse_H4;3
957;F89-13-155-p2_H1_E_CC3;NA;interpop;E;Corse_H1;7
958;F89-13-155-p2_H1_E_CC3;NA;interpop;E;Corse_H1;7
959;F89-13-155-p2_H1_E_CC3;NA;interpop;E;Corse_H1;6
960;F89-13-155-p2_H1_E_CC3;NA;interpop;E;Corse_H1;3
961;F89-13-155-p2_H1_E_CC5;NA;interpop;E;Corse_H1;6
962;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;6
963;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;6
964;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
965;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
966;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;6
967;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
968;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
969;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;5
970;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
971;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
972;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
973;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
974;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;6
975;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
976;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
977;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;5
978;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;2
979;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;2
980;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;5
981;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
982;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;7
983;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
984;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
985;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
986;L1119_Na545_H50_E_D1;NA;interpop;E;Narbonne_H50;8
987;L1086_Na121_H4_E_D2;NA;interpop;E;Narbonne_H4;8
988;L1086_Na121_H4_E_D2;NA;interpop;E;Narbonne_H4;8
989;L1086_Na121_H4_E_D2;NA;interpop;E;Narbonne_H4;5
990;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
991;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
992;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
993;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
994;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
995;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
996;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;9
997;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;9
998;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
999;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
1000;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
1001;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
1002;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
1003;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;8
1004;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
1005;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
1006;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;9
1007;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;9
1008;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
1009;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
1010;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;6
1011;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
1012;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;7
1013;ESP-163-2009-01_H3_E_D3;NA;interpop;E;Espagne_H3;6
1014;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;7
1015;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;7
1016;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;7
1017;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;7
1018;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;6
1019;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;7
1020;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;7
1021;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;6
1022;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;7
1023;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;7
1024;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;6
1025;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;8
1026;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;8
1027;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;6
1028;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;5
1029;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;5
1030;L1119_Na545_H50_E_D4;NA;interpop;E;Narbonne_H50;4
1031;L1090_Na136_H1_E_E2;NA;interpop;E;Narbonne_H1;8
1032;L1090_Na136_H1_E_E2;NA;interpop;E;Narbonne_H1;8
1033;L1090_Na136_H1_E_E2;NA;interpop;E;Narbonne_H1;8
1034;L1090_Na136_H1_E_E2;NA;interpop;E;Narbonne_H1;8
1035;L1090_Na136_H1_E_E2;NA;interpop;E;Narbonne_H1;5
1036;L1090_Na136_H1_E_E2;NA;interpop;E;Narbonne_H1;3
1037;L1090_Na136_H1_E_E2;NA;interpop;E;Narbonne_H1;6
1038;L1096b_Na156_H4_E_E4;NA;interpop;E;Narbonne_H4;6
1039;L1096b_Na156_H4_E_E4;NA;interpop;E;Narbonne_H4;6
1040;L1096b_Na156_H4_E_E4;NA;interpop;E;Narbonne_H4;5
1041;L1096b_Na156_H4_E_EE1;NA;interpop;E;Narbonne_H4;8
1042;L1096b_Na156_H4_E_EE1;NA;interpop;E;Narbonne_H4;8
1043;L1096b_Na156_H4_E_EE1;NA;interpop;E;Narbonne_H4;7
1044;L1096b_Na156_H4_E_EE1;NA;interpop;E;Narbonne_H4;7
1045;L1096b_Na156_H4_E_EE1;NA;interpop;E;Narbonne_H4;4
1046;Inconnu?_E_EE5;NA;interpop;E;NA;7
1047;Inconnu?_E_EE5;NA;interpop;E;NA;7
1048;Inconnu?_E_EE5;NA;interpop;E;NA;6
1049;Inconnu?_E_EE5;NA;interpop;E;NA;7
1050;Inconnu?_E_EE5;NA;interpop;E;NA;7
1051;L1110b_Na326_H5_E_F3;NA;interpop;E;Narbonne_H5;8
1052;L1110b_Na326_H5_E_F3;NA;interpop;E;Narbonne_H5;8
1053;L1110b_Na326_H5_E_F3;NA;interpop;E;Narbonne_H5;6
1054;L1110b_Na326_H5_E_F3;NA;interpop;E;Narbonne_H5;2
1055;F89-13-46-b2_H4_2013_I_A1;NA;interpop;I;Corse_H4;9
1056;F89-13-46-b2_H4_2013_I_A1;NA;interpop;I;Corse_H4;9
1057;F89-13-156-p2_H5_I_A2;NA;interpop;I;Corse_H5;7
1058;F89-13-156-p2_H5_I_A2;NA;interpop;I;Corse_H5;7
1059;F89-13-156-p2_H5_I_A2;NA;interpop;I;Corse_H5;7
1060;F89-13-156-p2_H5_I_A2;NA;interpop;I;Corse_H5;7
1061;F89-13-156-p2_H5_I_A2;NA;interpop;I;Corse_H5;5
1062;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1063;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1064;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1065;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1066;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;6
1067;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1068;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1069;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;6
1070;L1105_Na21_H2_I_A6;NA;interpop;I;Narbonne_H2;7
1071;L1105_Na21_H2_I_A6;NA;interpop;I;Narbonne_H2;7
1072;L1105_Na21_H2_I_A6;NA;interpop;I;Narbonne_H2;9
1073;L1105_Na21_H2_I_A6;NA;interpop;I;Narbonne_H2;9
1074;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;3
1075;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;4
1076;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;5
1077;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;4
1078;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;5
1079;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;7
1080;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;7
1081;L1086_Na121_H4_N_E3;NA;interpop;N;Narbonne_H4;5
1082;L1107_Na234_H2_N_E4;NA;interpop;N;Narbonne_H2;6
1083;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;6
1084;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;6
1085;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;6
1086;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;6
1087;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;7
1088;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;7
1089;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;5
1090;L1119_Na545_H50_N_F3;NA;interpop;N;Narbonne_H50;5
1091;L1123_Na632_H8_P_B2;NA;interpop;P;Narbonne_H8;6
1092;L1123_Na632_H8_P_B2;NA;interpop;P;Narbonne_H8;5
